phrase;line;line, lemmas;RuSentiLex;EmoLex;LinisCrowd;ChenSkiena;ProductSentiRus;SentiRusColl
;"Названа категория людей, которым противопоказаны дрожжи""
";называть категория человек который противопоказанный дрожжи;0;1;-1;-1;-1;0
;"Турецкий суд освободил россиян, подозреваемых в поджоге леса""
";турецкий суд освобождать россиянин подозреваемый в поджог лес;-1;-1;0;1;0;0
;"В Подмосковье вакцинация за два дня увеличилась вдвое
";в подмосковье вакцинация за два день увеличиваться вдвое;0;0;1;0;-1;0
;"Telegram запустил рекламную платформу
";запускать рекламный платформа;0;0;0;0;-1;0
;"Орейро записала обращение на русском языке после получения гражданства
";орейро записывать обращение на русский язык после получение гражданство;0;0;0;1;-1;0
;"В КЧР введут QR-коды для посещения общественных мест
";в вводить код для посещение общественный место;0;1;0;0;0;0
;"РКН удалил ресурсы с информацией о продаже поддельных сертификатов
";удалять ресурс с информация о продажа поддельный сертификат;-1;-1;-1;-1;-1;0
;"Врач развеял мифы о сочетании антибиотиков и алкоголя
";врач развеивать миф о сочетание антибиотик и алкоголь;-1;1;0;-1;-1;0
;"Telegram и Livejournal включили в реестр """"больших соцсетей""""""
";и включать в реестр большой соцсеть;0;0;0;-1;-1;0
;"Поколение Z выбирает платформенную занятость и ощущение свободы
";поколение выбирать платформенный занятость и ощущение свобода;0;1;0;1;-1;0
;"Моргенштерн заявил о готовности объяснить следователям слова о Дне Победы
";моргенштерн заявлять о готовность объяснять следователь слово о день победа;1;1;0;1;0;0
;"Роскомнадзор внес Telegram в реестр соцсетей
";роскомнадзор вносить в реестр соцсеть;0;0;0;0;0;0
;"Калужская область стала второй в России по приросту темпа вакцинации
";калужский область становиться второй в россия по прирост темп вакцинация;0;0;1;1;0;0
;"На Ставрополье введут QR-коды
";на ставрополье вводить код;0;0;0;0;0;0
;"В Москве продлили желтый уровень погодной опасности
";в москва продлять желтый уровень погодный опасность;-1;0;0;-1;-1;0
;"В Ульяновской области приостановили работу ряда организаций в нерабочие дни
";в ульяновский область приостанавливать работа ряд организация в нерабочий день;-1;0;-1;0;-1;0
;"Музей Победы пригласил Моргенштерна на экскурсию
";музей победа приглашать моргенштерн на экскурсия;1;1;0;1;0;0
;"Губернатор Пермского края оценил ситуацию с COVID-19 в регионе
";губернатор пермский край оценивать ситуация с в регион;1;0;0;1;-1;0
;"В Нижегородской области завершился ремонт дороги Выкса – Досчатое
";в нижегородский область завершаться ремонт дорога выкса досчатый;0;0;0;0;0;0
;"В Хакасии на период нерабочих дней ввели комендантский час
";в хакасия на период нерабочий день вводить комендантский час;-1;0;-1;0;-1;0
;"Нижегородский министр назвал фиктивную вакцинацию большим заблуждением
";нижегородский министр называть фиктивный вакцинация большой заблуждение;-1;-1;-1;-1;-1;0
;"На Кубани благоустроили более 120 зеленых зон
";на кубань благоустраивать более зеленый зона;-1;1;0;0;-1;0
;"Что нужно знать о лицевом счете квартиры, как его оформить и разделить""
";что нужно знать о лицевой счет квартира как он оформлять и разделять;0;1;0;1;-1;0
;"В Чувашии оценили резерв мест в больницах для пациентов с COVID-19
";в чувашия оценивать резерв место в больница для пациент с;1;1;-1;1;-1;0
;"Моргенштерн выразил готовность дать объяснения в СК
";моргенштерн выражать готовность давать объяснение в ск;1;0;0;0;-1;0
;"Пушков резко ответил на извинения Моргенштерна за слова о Дне Победы
";пушок резко отвечать на извинение моргенштерн за слово о день победа;1;1;0;1;-1;0
;"В Саратове расширили обязательную вакцинацию от коронавируса
";в саратов расширять обязательный вакцинация от коронавирус;1;0;0;0;-1;0
;"В Липецкой области увеличилось число госпитализированных с COVID-19 детей
";в липецкий область увеличиваться число госпитализировать с ребенок;0;1;1;0;-1;0
;"Количество палов травы в местах отдыха в Москве сократилось на треть
";количество пал трава в место отдых в москва сокращаться на треть;-1;0;-1;-1;0;0
;"Роспотребнадзор выявил более ста нарушений антиковидных мер в Москве
";роспотребнадзор выявлять много сто нарушение антиковидный мера в москва;-1;-1;-1;0;-1;0
;"Жириновский рассказал обо всех сделанных прививках от COVID-19
";жириновский рассказывать обо весь сделать прививка от;0;0;0;0;0;0
;"В России кормящих матерей начали прививать от коронавируса
";в россия кормить мать начинать прививать от коронавирус;0;0;1;1;0;0
;"В Саратовской области вводят самоизоляцию для непривитых старше 60 лет
";в саратовский область вводить самоизоляция для непривитый старый год;-1;0;-1;-1;-1;0
;"В Омской области введут дополнительные койки для больных COVID-19
";в омский область вводить дополнительный койка для больной;-1;0;0;1;-1;0
;"Старейшая российская байкерша Лия Клюйкова умерла в 90 лет
";старый российский байкерша лия клюйков умирать в год;-1;0;-1;-1;-1;0
;"В школе """"Останкино"""" опровергли отчисление студенток за лайки в соцсети""
";в школа останкино опровергать отчисление студентка за лайка в соцсеть;-1;0;-1;0;0;0
;"В Ульяновской области планируют приостановить работу общепита
";в ульяновский область планировать приостанавливать работа общепит;0;1;0;0;-1;0
;"Удмуртия готова развернуть еще тысячу коек для больных COVID-19
";удмуртия готовый развертывать еще тысяча койка для больной;0;0;0;1;-1;0
;"В Тольятти работник отсудил у компании 1,5 миллиона, но остался инвалидом""
";в тольятти работник отсуживать у компания миллион но оставаться инвалид;0;0;0;-1;0;0
;"В Рязанской области начнут амбулаторное экспресс-тестирование на COVID-19
";в рязанский область начинать амбулаторный экспресс тестирование на;0;0;0;1;0;0
;"В Минздраве рассказали, чего не стоит делать в нерабочие дни""
";в минздрав рассказывать что не стоить делать в нерабочий день;-1;0;-1;1;-1;0
;"Моргенштерн извинился за слова о праздновании Дня Победы
";моргенштерн извиняться за слово о празднование день победа;1;1;1;1;0;0
;"Бюджет Волгоградской области на 2022 год сформирован без дефицита
";бюджет волгоградский область на год сформировывать без дефицит;-1;-1;-1;-1;0;0
;"В Хакасии отменят движение общественного транспорта на нерабочие дни
";в хакасия отменять движение общественный транспорт на нерабочий день;-1;0;0;-1;-1;0
;"В Свердловской области вводят QR-коды для общепита и торговых центров
";в свердловский область вводить код для общепит и торговый центр;0;1;0;0;0;0
;"Моргенштерн извинился за слова о Дне Победы
";моргенштерн извиняться за слово о день победа;1;1;1;1;0;0
;"Минздрав разработает новую версию рекомендаций по лечению COVID-19
";минздрав разрабатывать новый версия рекомендация по лечение;0;0;0;1;0;0
;"Володин допустил введение уголовной ответственности за """"серые"""" зарплаты""
";володин допускать введение уголовный ответственность за серый зарплата;-1;0;-1;-1;1;0
;"В Москве ожидают пик заболеваемости COVID-19 к концу недели
";в москва ожидать пик заболеваемость к конец неделя;-1;0;-1;1;-1;0
;"Собянин повысил минимальную пенсию для москвичей
";собянин повышать минимальный пенсия для москвич;0;-1;1;1;-1;0
;"Глава Тюменской области назвал ситуацию с COVID-19 в регионе напряженной
";глава тюменский область называть ситуация с в регион напряженный;-1;0;-1;0;-1;0
;"В Дагестане с 28 октября введут QR-коды
";в дагестан с октябрь вводить код;0;0;0;0;0;0
;"Дума одобрила в I чтении продление заморозки накопительной части пенсий
";дума одобрять в чтение продление заморозок накопительный часть пенсия;1;1;0;0;-1;0
;"В России за неделю развернули 18 тысяч новых коек для больных COVID-19
";в россия за неделя развертывать тысяча новый койка для больной;-1;0;0;1;-1;0
;"В России сформировали запас тестов на COVID-19, сообщила Попова""
";в россия сформировывать запас тест на сообщать попов;0;-1;0;-1;0;0
;"Роспотребнадзор рассказал о последствиях подделки сертификата о вакцинации
";роспотребнадзор рассказывать о последствие подделка сертификат о вакцинация;-1;0;0;-1;0;0
;"Тюменский губернатор поручил привить от СOVID-19 80% взрослых к 5 января
";тюменский губернатор поручать прививать от взрослый к январь;0;0;0;1;-1;0
;"Мурашко рассказал о работе выездных бригад для борьбы с COVID-19 в регионах
";мурашко рассказывать о работа выездной бригада для борьба с в регион;0;-1;0;0;0;0
;"Попова назвала регионы, где результаты тестов на COVID-19 ждут шесть дней""
";попов называть регион где результат тест на ждать шесть день;0;0;0;0;0;0
;"Мишустин призвал регионы прогнозировать ситуацию с коронавирусом
";мишустин призывать регион прогнозировать ситуация с коронавирус;0;0;0;0;0;0
;"Тюменская область введет QR-коды для посещения культурных мероприятий
";тюменский область вводить код для посещение культурный мероприятие;0;1;-1;0;-1;0
;"В Госдуме призвали к обязательной установке в домах датчиков утечки газа
";в госдума призывать к обязательный установка в дом датчик утечка газ;0;-1;0;-1;-1;0
;"Мишустин поручил нарастить объемы тестирования на COVID-19
";мишустин поручать наращивать объем тестирование на;0;0;0;0;-1;0
;"Пункты вакцинации в Москве будут открыты в нерабочие дни
";пункт вакцинация в москва быть открывать в нерабочий день;-1;0;-1;0;-1;0
;"Под наблюдением медиков находятся более 1,3 миллиона пациентов с COVID-19""
";под наблюдение медик находиться много миллион пациент с;0;1;-1;1;-1;0
;"Собянин оценил эксперимент по экспресс-тестированию
";собянин оценивать эксперимент по экспресс тестирование;1;0;-1;1;-1;0
;"Правительство выделило средства на закупку лекарств от COVID-19
";правительство выделять средство на закупка лекарство от;0;0;0;1;-1;0
;"В СЖР выступили против отчислений за """"неугодные"""" лайки""
";в выступать против отчисление за неугодный лайка;-1;-1;-1;1;-1;0
;"Экспресс-тестами на COVID-19 обеспечат всех нуждающихся, заявила Попова""
";экспресс тесто на обеспечивать весь нуждающийся заявлять попов;-1;0;0;1;-1;0
;"Губернатор Смоленской области оценил ситуацию с коронавирусом
";губернатор смоленский область оценивать ситуация с коронавирус;1;0;0;1;-1;0
;"В Красноярском крае с 30 октября вводят QR-коды
";в красноярский край с октябрь вводить код;0;0;0;0;0;0
;"Депутат ГД назвал причину изменения формы сертификатов о вакцинации
";депутат называть причина изменение форма сертификат о вакцинация;0;1;0;0;0;0
;"Собянин рассказал о наращивании объемов ПЦР-тестирования на COVID-19
";собянин рассказывать о наращивание объем тестирование на;0;0;0;0;-1;0
;"Мишустин поручил помогать регионам с высокой заболеваемостью COVID-19
";мишустин поручать помогать регион с высокий заболеваемость;0;0;-1;1;-1;0
;"Попова заявила о росте заболеваемости COVID-19 во всех федеральных округах
";попов заявлять о рост заболеваемость во весь федеральный округ;-1;0;-1;-1;0;0
;"Больше трети заболевших COVID-19 приходится на три региона, заявила Попова""
";много треть заболевать приходиться на три регион заявлять попов;-1;0;-1;0;-1;0
;"Заболеваемость COVID-19 растет в 32 регионах
";заболеваемость расти в регион;-1;0;-1;0;0;0
;"Мощности пунктов вакцинации в Москве могут увеличить
";мощность пункт вакцинация в москва мочь увеличивать;0;1;0;1;0;0
;"Почти 60 тысяч детей в России болеют COVID-19, заявил Мурашко""
";почти тысяча ребенок в россия болеть заявлять мурашко;-1;1;0;0;-1;0
;"В России свыше 32 миллионов человек вакцинировались от гриппа
";в россия свыше миллион человек вакцинироваться от грипп;-1;0;-1;0;0;0
;"Мурашко назвал регионы с самыми высокими и низкими темпами вакцинации
";мурашко называть регион с самый высокий и низкий темп вакцинация;-1;0;0;1;-1;0
;"Мурашко назвал процент тяжелых больных среди госпитализированных с COVID-19
";мурашко называть процент тяжелый больной среди госпитализировать с;-1;-1;0;-1;-1;0
;"Мурашко оценил долю свободного коечного фонда
";мурашко оценивать доля свободный коечный фонд;1;0;1;1;-1;0
;"В Москве увеличат количество пунктов экспресс-тестирования на коронавирус
";в москва увеличивать количество пункт экспресс тестирование на коронавирус;0;1;0;1;0;0
;"Собянин назвал ситуацию с коронавирусом в Москве напряженной
";собянин называть ситуация с коронавирус в москва напряженный;-1;0;-1;0;-1;0
;"В Москве заполнено 12,5 тысячи коек для пациентов с COVID-19""
";в москва заполнять тысяча койка для пациент с;0;1;0;1;0;0
;"Темпы вакцинации в Москве увеличились в четыре раза, заявил Собянин""
";темп вакцинация в москва увеличиваться в четыре раз заявлять собянин;0;0;1;0;0;0
;"Молодежь все больше отрывается от реальности, считает ученый""
";молодежь весь много отрываться от реальность считать ученый;1;1;-1;1;-1;0
;"Мишустин поручил контролировать ситуацию с вакцинацией в нерабочие дни
";мишустин поручать контролировать ситуация с вакцинация в нерабочий день;-1;0;-1;0;-1;0
;"Правительство выделило 56 миллиардов рублей на поддержку здравоохранения
";правительство выделять миллиард рубль на поддержка здравоохранение;1;-1;0;1;-1;0
;"Минобрнауки разрешило вузам перейти на дистанционное обучение
";минобрнаука разрешать вуз переходить на дистанционный обучение;0;1;0;-1;-1;0
;"Глава Минобрнауки попросил проверить знания студентов после нерабочих дней
";глава минобрнаука попросить проверять знание студент после нерабочий день;-1;1;1;0;-1;0
;"Более 720 тысяч электронных рецептов оформили в Подмосковье с сентября
";более тысяча электронный рецепт оформлять в подмосковье с сентябрь;0;0;0;0;-1;0
;"Лавров рассказал, как избежать """"утечки мозгов"""" из Баренцева региона""
";лавров рассказывать как избегать утечка мозги из баренцев регион;-1;-1;-1;-1;0;0
;"Ямал вошел в пятерку регионов по активности участия в онлайн-переписи
";ямал входить в пятерка регион по активность участие в онлайн перепись;1;0;0;0;-1;0
;"Вологодские власти создадут департамент цифрового развития
";вологодский власть создавать департамент цифровой развитие;0;1;0;0;-1;0
;"В Крыму пообещали рано или поздно вернуть скифское золото
";в крым пообещать рано или поздно вернуть скифский золото;0;0;0;1;-1;0
;"Чернышенко надеется на ратификацию рекомендаций ЮНЕСКО по ИИ
";чернышенко надеяться на ратификация рекомендация юнеско по ия;1;0;0;1;0;0
;"Власти Ингушетии полностью обеспечат лесные хозяйства новой техникой
";власть ингушетия полностью обеспечивать лесной хозяйство новый техника;0;1;1;1;-1;0
;"Яндекс"""" и """"Ростелеком"""" подписали Кодекс этики искусственного интеллекта""
";яндекс и ростелеком подписывать кодекс этика искусственный интеллект;-1;1;1;1;-1;0
;"Строительство инфекционной больницы в Оренбуржье завершат до конца года
";строительство инфекционный больница в оренбуржье завершать до конец год;-1;-1;-1;0;0;0
;"Рособрнадзор завершил серию онлайн-консультаций по ЕГЭ
";рособрнадзор завершать серия онлайн консультация по егэ;0;0;0;0;-1;0
;"В Тюменской области перепись населения идет активными темпами
";в тюменский область перепись население идти активный темп;1;0;0;1;-1;0
;"Песков дал совет Моргенштерну после его слов о Великой Отечественной войне
";песков давать совет моргенштерн после его слово о великий отечественный война;-1;0;1;1;-1;0
;"В Кремле заявили о праве губернаторов продлевать нерабочие дни
";в кремль заявлять о право губернатор продлевать нерабочий день;-1;1;-1;1;-1;0
;"Штурм Театрального центра на Дубровке: 19 лет трагедии """"Норд-Оста""""""
";штурм театральный центр на дубровка год трагедия норд-ост;-1;0;-1;-1;-1;0
;"России нужны чиновники нового качества, заявил Кудрин""
";россия нужный чиновник новый качество заявлять кудрин;0;0;0;1;-1;0
;"Томская область поддержит бизнес из-за ограничений по COVID-19
";томский область поддерживать бизнес из-за ограничение по;-1;0;-1;0;-1;0
;"В Кузбассе коечный фонд для больных COVID-19 занят на 80%
";в кузбасс коечный фонд для больной занимать на;-1;0;0;-1;0;0
;"Минздрав Подмосковья сообщил об обследовании на COVID пациентов с ОРВИ
";минздрав подмосковье сообщать об обследование на пациент с орвь;0;1;0;1;0;0
;"Глава СПЧ Валерий Фадеев переболел COVID-19
";глава валерий фадеев переболеть;-1;0;0;0;0;0
;"В Свердловской области обсуждают ужесточение антиковидных мер
";в свердловский область обсуждать ужесточение антиковидный мера;-1;0;-1;0;0;0
;"Мясников назвал необычные причины боли в горле
";мясников называть необычный причина боль в горло;-1;0;-1;-1;0;0
;"Чернышенко назвал использование """"дипфейков"""" без согласия людей неприемлемым""
";чернышенко называть использование дипфеек без согласие человек неприемлемый;-1;1;-1;0;-1;0
;"Иркутский врач объяснил слова """"помирайте дома"""" в адрес непривитых""
";иркутский врач объяснять слово помирать дома в адрес непривитый;-1;1;-1;0;-1;0
;"В Москве за сутки госпитализировали 1604 пациента с COVID-19
";в москва за сутки госпитализировать пациент с;0;1;0;1;0;0
;"В России зафиксировали новый максимум смертей от COVID-19
";в россия зафиксировать новый максимум смерть от;-1;-1;-1;0;-1;0
;"Алтайский завод выплатит по 30 тысяч рублей вакцинировавшимся сотрудникам
";алтайский завод выплачивать по тысяча рубль вакцинироваться сотрудник;0;0;0;1;0;0
;"Не надо наезжать и кричать"""": Певцов заступился за Моргенштерна""
";не надо наезжать и кричать певец заступаться за моргенштерн;-1;0;-1;0;-1;0
;"Чернышенко рассказал о внимании к искусственному интеллекту в России
";чернышенко рассказывать о внимание к искусственный интеллект в россия;0;1;1;1;-1;0
;"Оперштаб назвал регионы с наименьшими темпами прироста случаев COVID-19
";оперштаб называть регион с маленький темп прирост случай;0;-1;1;0;-1;0
;"В России зафиксировали новый максимум смертей от COVID-19
";в россия зафиксировать новый максимум смерть от;-1;-1;-1;0;-1;0
;"Наибольшее число новых случаев COVID-19 выявили в Москве
";большой число новый случай выявлять в москва;0;0;0;0;-1;0
;"В России выявили 36 446 новых случаев заражения коронавирусом
";в россия выявлять новый случай заражение коронавирус;-1;-1;0;-1;0;0
;"Сотрудника Росгвардии в Йошкар-Оле наградили медалью за спасение тонувших
";сотрудник росгвардия в йошкар-ола награждать медаль за спасение тонуть;0;1;0;1;-1;0
;"На Урале призвали пресечь получение QR-кодов """"обходным путем""""""
";на урал призывать пресекать получение код обходный путь;-1;0;0;1;0;0
;"В Алтайском крае зафиксировали ажиотажный спрос на вакцинацию от COVID-19
";в алтайский край зафиксировать ажиотажный спрос на вакцинация от;-1;-1;0;0;0;0
;"В Тюменской области ужесточили ограничения в нерабочие дни
";в тюменский область ужесточить ограничение в нерабочий день;-1;-1;-1;-1;-1;0
;"Минцифры проверяет продукты в реестрах российского и евразийского ПО
";минцифра проверять продукт в реестр российский и евразийский по;0;0;0;0;0;0
;"В Новосибирской области вводят QR-коды для посещения общественных мест
";в новосибирский область вводить код для посещение общественный место;0;1;0;0;0;0
;"Главный нарколог Москвы рассказал, как мотивирует людей прививаться""
";главный нарколог москва рассказывать как мотивировать человек прививаться;0;1;0;1;-1;0
;"Стало известно, во сколько обошлась свадьба Моргенштерна""
";становиться известно во сколько обходиться свадьба моргенштерн;0;0;0;-1;-1;0
;"В Петербурге рассказали об изменениях в работе транспорта в нерабочие дни
";в петербург рассказывать об изменение в работа транспорт в нерабочий день;-1;1;-1;0;-1;0
;"Губернатор Севастополя назвал ситуацию с COVID-19 самой тяжелой за пандемию
";губернатор севастополь называть ситуация с самый тяжелый за пандемия;-1;-1;0;0;-1;0
;"Жириновский сделал семь прививок за полтора года
";жириновский сделать семь прививка за полтора год;0;0;0;0;0;0
;"В Адыгее приостановят работу досуговых заведений
";в адыгея приостанавливать работа досуговой заведение;0;1;0;0;0;0
;"Минцифры планирует создать """"суперприложение"""" для чиновников""
";минцифра планировать создавать суперприложение для чиновник;0;0;0;0;-1;0
;"В Совфеде напомнили о праве регионов решать вопрос о выходных на вакцинацию
";в совфед напоминать о право регион решать вопрос о выходной на вакцинация;0;1;0;1;-1;0
;"В Курской области расследуют дело о подделке сертификатов о вакцинации
";в курский область расследовать дело о подделка сертификат о вакцинация;-1;0;0;-1;0;0
;"В Москве стартует онлайн-чемпионат для школьников Soft Skills — 2035
";в москва стартовать онлайн чемпионат для школьник;0;0;0;0;-1;0
;"Карту """"Тройка"""" украсит фото Северного речного вокзала""
";карта тройка украшать фото северный речной вокзал;1;0;1;-1;0;0
;"Психологи и педагоги ищут новые пути для решения проблем детства
";психолог и педагог искать новый путь для решение проблема детство;-1;0;1;1;-1;0
;"Губернатор Приамурья и глава Минприроды обсудили строительство дамб
";губернатор приамурье и глава минприроды обсуждать строительство дамба;0;0;0;-1;0;0
;"В Омской области введут QR-коды
";в омский область вводить код;0;0;0;0;0;0
;"Умер установивший дипотношения с СССР президент Южной Кореи
";умирать устанавливать дипотношения с ссср президент южный корея;0;1;-1;-1;-1;0
;"Любит вскрывать грудь оппоненту"""": что происходит на закрытых собачьих боях""
";любить вскрывать грудь оппонент что происходить на закрывать собачий бой;-1;-1;1;-1;-1;0
;"Москвичам рассказали, какая погода ждет их во вторник""
";москвич рассказывать какой погода ждать они во вторник;0;0;0;-1;0;0
;"Исследование показало, почему россияне отказываются от наличных""
";исследование показывать почему россиянин отказываться от наличный;0;-1;-1;-1;-1;0
;"Прокурор – это про что? Чем он занимается и как им стать
";прокурор это про что что он заниматься и как они становиться;0;0;0;1;0;0
;"Опрос показал, сколько компаний поддерживают обязательную вакцинацию""
";опрос показывать сколько компания поддерживать обязательный вакцинация;1;1;0;1;-1;0
;"В Роспотребнадзоре сравнили опасность заражения """"дельтой"""" и AY.4.2""
";в роспотребнадзор сравнивать опасность заражение дельта и;-1;-1;0;-1;-1;0
;"Россияне назвали преимущества цифрового паспорта
";россиянин называть преимущество цифровой паспорт;1;1;1;1;-1;0
;"Диетолог подсказал, как не набрать вес в период холодов""
";диетолог подсказывать как не набирать вес в период холод;-1;0;-1;0;-1;0
;"В Роспотребнадзоре объяснили, как точно получить QR-код после COVID-19""
";в роспотребнадзор объяснять как точно получать код после;0;1;0;1;-1;0
;"Мошенники могут позвонить со знакомого номера. Что делать?
";мошенник мочь позвонить со знакомый номер что делать;-1;-1;-1;0;-1;0
;"Эксперт объяснила, почему в России нет коллективного иммунитета к COVID-19""
";эксперт объяснять почему в россия нет коллективный иммунитет к;0;1;0;0;0;0
;"Один вариант"""". Как отвечать на подозрительный звонок со знакомого номера""
";один вариант как отвечать на подозрительный звонок со знакомый номер;-1;1;-1;1;-1;0
;"Эксперт рассказала, кому не стоит вакцинироваться""
";эксперт рассказывать кто не стоить вакцинироваться;0;1;0;1;-1;0
;"Биолог объяснила, почему массовое ПЦР-тестирование детей не принесет пользы""
";биолог объяснять почему массовый тестирование ребенок не приносить польза;1;1;1;1;-1;0
;"Эксперт Роспотребнадзора оценил возможность тестов выявлять вариант AY.4.2
";эксперт роспотребнадзор оценивать возможность тест выявлять вариант;1;1;0;1;-1;0
;"Фактор ежедневной радости"""". Назван продукт, поднимающий настроение""
";фактор ежедневный радость называть продукт подымать настроение;1;1;1;1;-1;0
;"Специалист объяснил, когда должна снижаться плата за услуги ЖКХ""
";специалист объяснять когда должный снижаться плата за услуга жкх;0;0;0;0;-1;0
;"Иммунолог рассказал, сколько надо вдохнуть COVID-19, чтобы заболеть""
";иммунолог рассказывать сколько надо вдыхать чтобы заболевать;-1;0;-1;0;-1;0
;"Врач объяснил, чем нынешний вариант коронавируса опаснее предыдущих""
";врач объяснять чем нынешний вариант коронавирус опасно предыдущий;0;1;0;0;-1;0
;"Эксперт оценил, как быстро карты """"Мир"""" появятся в Google Pay""
";эксперт оценивать как быстро карта мир появляться в;1;1;0;1;-1;0
;"В Смоленской области ужесточили ограничения из-за коронавируса
";в смоленский область ужесточить ограничение из-за коронавирус;-1;-1;-1;-1;-1;0
;"Адвокат опроверг информацию о предложении Моргенштерна отменить День Победы
";адвокат опровергать информация о предложение моргенштерн отменять день победа;1;1;0;1;-1;0
;"Путин наградил медалью волжанина, спасшего двух тонущих детей""
";путин награждать медаль волжанин спасать два тонуть ребенок;0;1;0;1;-1;0
;"Путин наградил Зорькина орденом """"За заслуги перед Отечеством"""" I степени""
";путин награждать зорькин орден за заслуга перед отечество степень;1;1;1;1;-1;0
;"Путин наградил Пумпянского орденом """"За заслуги перед Отечеством""""""
";путин награждать пумпянский орден за заслуга перед отечество;1;1;1;1;0;0
;"Путин наградил губернатора Вологодской области Кувшинникова орденом
";путин награждать губернатор вологодский область кувшинников орден;0;0;0;1;0;0
;"Путин наградил орденом Пирогова замминистра здравоохранения
";путин награждать орден пирогов замминистра здравоохранение;0;0;0;1;0;0
;"В Красной Поляне учтут мнение жителей при изменении движения на трассах
";в красный поляна учитывать мнение житель при изменение движение на трасса;0;0;1;0;-1;0
;"Итальянский шеф-повар назвал """"варварскую"""" ошибку россиян при варке макарон""
";итальянский шеф-повар называть варварский ошибка россиянин при варка макароны;-1;-1;-1;-1;0;0
;"В России утвердили форму сертификата о вакцинации от COVID-19
";в россия утверждать форма сертификат о вакцинация от;0;1;0;0;0;0
;"В Петербурге удвоились показатели вакцинации от COVID-19, заявил Беглов""
";в петербург удваиваться показатель вакцинация от заявлять бегол;0;0;0;0;-1;0
;"Генпрокуратура организовала проверку качества и безопасности продуктов
";генпрокуратура организовывать проверка качество и безопасность продукт;1;1;1;1;0;0
;"Совфед проработает вопрос о повышении безопасности газового оборудования
";совфед прорабатывать вопрос о повышение безопасность газовый оборудование;1;0;1;0;0;0
;"На Кубани почти девять тысяч семей получили право на краевой маткапитал
";на кубань почти девять тысяча семья получать право на краевой маткапитал;0;1;0;1;-1;0
;"Илиас Меркури: выходные за вакцинацию и помощь ЕС Украине. ВИДЕО
";илиас меркурить выходной за вакцинация и помощь ес украина видео;1;1;0;1;-1;0
;"Минобороны направило специалистов в Тульскую область для борьбы с COVID-19
";минобороны направлять специалист в тульский область для борьба с;0;-1;0;1;0;0
;"На одном из озер Надыма """"замерзает"""" черный лебедь""
";на один из озеро надым замерзать черный лебедь;-1;-1;0;0;0;0
